Company,Symbol
S&P 500,.INX
S&P 500,^GSPC
iShares Trust,AAIT
Advantage Oil & Gas Ltd,AAV
iShares MSCI Cntry Asa Jpn Idx Fnd ETF,AAXJ
iShares MSCI ACWI Index Fund,ACWI
iShares MSCI ACWI ex US Index Fund,ACWX
Adams Resources & Energy Inc,AE
iShares S&P Asia 50 Index Fund (ETF),AIA
AK Steel Holding Corporation,AKS
Alon USA Partners LP,ALDW
Alon USA Energy Inc,ALJ
Antero Midstream Partners LP,AM
Andatee China Marine Fuel Services Corp,AMCF
American Midstream Partners LP,AMID
American Eagle Energy Corp,AMZG
Aegean Marine Petroleum Network Inc,ANW
Apache Corp,APA
Anadarko Petroleum Corp,APC
Antero Resources Corp,AR
Arc Logistics Partners LP,ARCX
Approach Resources Inc,AREX
"Alliance Resource Partners, L.P.",ARLP
Atlas Energy Group LLC,ATLS
Atwood Oceanics Inc,ATW
Abraxas Petroleum Corp,AXAS
iShares MSCI ACWI ex US Financials Sect,AXFN
iShares Trust,AXJS
Basic Energy Services Inc,BAS
Bill Barrett Corp,BBG
Bonanza Creek Energy Inc,BCEI
Barings Global Short Duration High Yield Fund,BGH
Baker Hughes Inc,BHI
BHP Billiton Limited (ADR),BHP
Blueknight Energy Partners LP,BKEP
BP PLC,BP
Buckeye Partners LP,BPL
BP Prudhoe Bay Royalty Trust,BPT
Barnwell Industries Inc,BRN
Bristow Group Inc,BRS
Black Stone Minerals LP,BSM
Baytex Energy Corp,BTE
Boardwalk Pipeline Partners LP,BWP
Bellatrix Exploration Ltd,BXE
Crossamerica Partners LP,CAPL
Cameco Corp (USA),CCJ
CSI Compressco LP,CCLP
Lucas Energy Inc,CEI
Cypress Energy Partners LP,CELP
CNOOC Ltd,CEO
Crestwood Equity Partners LP,CEQP
CGG SA,CGG
Chesapeake Energy Corp,CHK
Chesapeake Granite Wash Trust,CHKR
Cobalt International Energy Inc,CIE
Companhia Energetica de Minas Gers CEMIG,CIG
Seacor Holdings Inc,CKH
Crude next month futures,CL=F
Core Laboratories NV,CLB
Cloud Peak Energy Inc.,CLD
Cliffs Natural Resources Inc,CLF
Calumet Specialty Products Partners LP,CLMT
Continental Resources Inc,CLR
Cone Midstream Partners LP,CNNX
Canadian Natural Resource Ltd (USA),CNQ
Canadian Natural Resources Ltd,CNQ
CONSOL Energy Inc,CNX
Cabot Oil & Gas Corp,COG
iShares U.S. ETF Trust,COMT
ConocoPhillips,COP
Callon Petroleum Company,CPE
Callon Petroleum Co,CPE
Crescent Point Energy Corp,CPG
Columbia Pipeline Group Inc,CPGX
Cheniere Energy Partners LP Holdings LLC,CQH
Cheniere Energy Partners LP,CQP
California Resources Corp,CRC
Comstock Resources Inc,CRK
CARBO Ceramics Inc,CRR
Cross Timbers Royalty Trust,CRT
Carrizo Oil & Gas Inc,CRZO
Cenovus Energy Inc,CVE
CVR Energy Inc,CVI
Chicago Rivet & Machine Co.,CVR
CVR Refining LP,CVRR
Chevron Corp,CVX
Clayton Williams Energy Inc,CWEI
Concho Resources Inc,CXO
Dejour Energy Inc,DEJ
Delek US Holdings Inc,DK
Delek Logistics Partners LP,DKL
Dominion Midstream Partners LP,DM
NOW Inc,DNOW
Denbury Resources Inc,DNR
Diamond Offshore Drilling Inc,DO
Dril-Quip Inc,DRQ
Devon Energy Corp,DVN
Dawson Geophysical Co,DWSN
Eni SpA,E
Ecopetrol SA,EC
Encana Corp,ECA
Eclipse Resources Corp,ECR
ECA Marcellus Trust I,ECT
iShares Inc.,EEMA
iShares Inc.,EEME
iShares Trust,EEML
Enbridge Energy Partners LP,EEP
Enbridge Energy Management LLC,EEQ
Energen Corp,EGN
iShares Inc.,EGRW
VAALCO Energy Inc,EGY
iShares Inc.,EMDI
Emerge Energy Services LP,EMES
iShares Inc.,EMEY
iShares MSCI Emrg Mrkt Mtrl Sctr Indx Fd,EMMT
Enbridge Inc,ENB
Enable Midstream Partners LP,ENBL
EnLink Midstream LLC,ENLC
EnLink Midstream Partners LP,ENLK
EnerJex Resources Inc,ENRJ
Enservco Corp,ENSV
iShares MSCI New Zealand Invest ETF,ENZL
EOG Resources Inc,EOG
Emerald Oil Inc,EOX
Enterprise Products Partners LP,EPD
EP Energy Corp,EPE
Evolution Petroleum Corp,EPM
EQT GP Holdings LP,EQGP
EQT Midstream Partners LP,EQM
EQT Corp,EQT
Enerplus Corp,ERF
Escalera Resources Co,ESCR
Eco-Stim Energy Solutions Inc,ESES
iShares MSCI EAFE ESG Optimized ETF,ESGD
iShares MSCI EM ESG Optimized ETF,ESGE
iShares MSCI USA ESG Optimized ETF,ESGU
Earthstone Energy Inc,ESTE
ENSCO PLC,ESV
Energy Transfer Equity LP,ETE
Energy Transfer Partners LP,ETP
iShares Inc.,EVAL
EV Energy Partners LP,EVEP
iShares MSCI Brazil Small Cap Index ETF,EWZS
Energy XXI Gulf Coast Inc,EXXI
iShares Fallen Angels USD Bond ETF,FALN
Diamondback Energy Inc,FANG
iShares Trust,FCHI
Freeport-McMoRan Inc,FCX
iShares MSCI Far East Fin Sec Index Fund,FEFN
Forbes Energy Services Ltd,FES
Forum Energy Technologies Inc,FET
Ferrellgas Partners LP,FGP
Franks International NV,FI
FMC Corp,FMC
FieldPoint Petroleum Corp,FPP
TechnipFMC PLC,FTI
Flotek Industries Inc,FTK
FX Energy Inc,FXEN
New Concept Energy Inc,GBR
General Electric,GE
Genesis Energy LP,GEL
Geospace Technologies Corp,GEOS
Goldcorp Inc. (USA),GG
Gerdau SA (ADR),GGB
Gulf Island Fabrication Inc,GIFI
SPDR Gold Trust (ETF),GLD
GulfMark Offshore Inc,GLF
Golar LNG,GLNG
Glori Energy Inc,GLRI
Genie Energy Ltd,GNE
iShares Trust,GNMA
Gulfport Energy Corp,GPOR
Green Plains Partners LP,GPP
GeoPark Ltd,GPRK
Gastar Exploration Inc,GST
Gran Tierra Energy Inc,GTE
Halliburton Co,HAL
Holly Energy Partners LP,HEP
Hess Corp,HES
HollyFrontier Corp,HFC
Hugoton Royalty Trust,HGT
Halcon Resources Corp,HK
Helix Energy Solutions Group Inc,HLX
Harvest Natural Resources Inc,HNR
Hornbeck Offshore Services Inc,HOS
Helmerich and Payne Inc,HP
Houston American Energy Corp,HUSA
iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,HYXE
iShares NASDAQ Biotechnology Index (ETF),IBB
Independence Contract Drilling Inc,ICD
iShares S&P Global Clean Energy Index Fd,ICLN
iShares MSCI Europe Small-Cap ETF,IEUS
iShares FTSE EPRA/NAREIT Europe Index Fund,IFEU
iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,IFGL
iShares FTSE EPRA/NAREIT Nrth Amrc Idx,IFNA
iShares S&P Global Infrastructure Index,IGF
iShares S&P/Citigroup Intl Trsry Bond,IGOV
Imperial Oil Ltd,IMO
iShares S&P India Nifty 50 Index Fund,INDY
World Fuel Services Corp,INT
Ion Geophysical Corp,IO
iShares S&P/Citigroup 1-3 Year Int Trsry,ISHG
Isramco Inc,ISRL
iShares Trust,IXUS
iShares Morningstar Mid Value Idx (ETF),JKI
Jones Energy Inc,JONE
KAZ Minerals PLC,KAZ
Key Energy Services Inc,KEG
Kinder Morgan Inc,KMI
Kosmos Energy Ltd,KOS
Legacy Reserves LP,LGCY
Lilis Energy Inc,LLEX
Lonmin Plc,LMI
Cheniere Energy Inc,LNG
Laredo Petroleum Inc,LPI
Mid-Con Energy Partners LP,MCEP
Contango Oil & Gas Co,MCF
iShares MSCI China Index Fund,MCHI
McDermott International Inc,MDR
Memorial Production Partners LP,MEMP
Midcoast Energy Partners LP,MEP
Miller Energy Resources Inc,MILL
Martin Midstream Partners LP,MMLP
Magellan Midstream Partners LP,MMP
MagneGas Corp,MNGA
Marathon Petroleum Corp,MPC
iShares MSCI Global Impact ETF,MPCT
MPLX LP,MPLX
MRC Global Inc,MRC
Marathon Oil Corp,MRO
ArcelorMittal SA (ADR),MT
Matador Resources Co,MTDR
Matrix Service Co,MTRX
Murphy Oil Corp,MUR
MV Oil Trust,MVO
Mexco Energy Corp,MXC
North Atlantic Drilling Ltd,NADL
Nordic American Tanker,NAT
Noble Energy Inc,NBL
Nabors Industries Ltd,NBR
Enduro Royalty Trust,NDRO
Noble Corporation PLC,NE
Newmont Mining Corp,NEM
National Fuel Gas Co,NFG
Newfield Exploration Co,NFX
NGL Energy Partners LP,NGL
Natural Gas Services Group Inc,NGS
Niska Gas Storage Partners LLC,NKA
North American Energy Partners Inc,NOA
Northern Oil and Gas Inc,NOG
National Oilwell Varco Inc,NOV
Newpark Resources Inc,NR
NuStar Energy LP,NS
NuStar GP Holdings LLC,NSH
New Source Energy Partners LP,NSLP
iShares S&P Global Nuclear Energy Idx,NUCL
Nucor Corporation,NUE
Oasis Petroleum Inc,OAS
Oil Holders ETF,OIH
Oceaneering International Inc,OII
iPath S&P GSCI Crude Oil TR ETN ,OIL
Oil States International Inc,OIS
ONEOK Partners LP,OKS
Ocean RIG UDW Inc,ORIG
PHLX Oil Service Sector,OSX
Occidental Petroleum Corp,OXY
Plains All American Pipeline LP,PAA
Pacific Drilling SA,PACD
Plains GP Holdings LP,PAGP
Pembina Pipeline Corp,PBA
PBF Energy Inc,PBF
PBF Logistics LP,PBFX
Petroleo Brasileiro SA Petrobras (ADR),PBR
Permian Basin Royalty Trust,PBT
PDC Energy Inc,PDCE
Precision Drilling Corp,PDS
Parsley Energy Inc,PE
PEDEVCO Corp,PED
Pacific Ethanol Inc,PEIX
SandRidge Permian Trust,PER
Pioneer Energy Services Corp,PES
Profire Energy Inc,PFIE
Pengrowth Energy Corp,PGH
Paragon Offshore PLC,PGN
PHI Inc,PHIIK
Panhandle Oil and Gas Inc,PHX
Parker Drilling Co,PKD
POSCO (ADR),PKX
PrimeEnergy Corp,PNRG
Petroquest Energy Inc,PQ
PostRock Energy Corp,PSTR
Phillips 66,PSX
Phillips 66 Partners LP,PSXP
Patterson-UTI Energy Inc,PTEN
PetroChina Co Ltd,PTR
Penntex Midstream Partners LP,PTXP
Penn West Petroleum Ltd,PWE
Pioneer Natural Resources Co,PXD
Petrobras Argentina SA,PZE
iShares Trust,QAT
QEP Resources Inc,QEP
Recon Technology Ltd,RCON
Rowan Companies PLC,RDC
Royal Dutch Shell plc (ADR),RDS.A
Renewable Energy Group Inc,REGI
Ring Energy Inc,REI
Resolute Energy Corp,REN
RPC Inc,RES
Rex Energy Corp,REXX
Rice Energy Inc,RICE
Transocean LTD,RIG
Rio Tinto plc (ADR),RIO
Rice Midstream Partners LP,RMP
Royale Energy Inc,ROYL
Pacific Coast Oil Trust,ROYT
Range Resources Corp,RRC
RSP Permian Inc,RSPP
SAExploration Holdings Inc,SAEX
Saratoga Resources Inc,SARA
Southern Copper Corp,SCCO
Schnitzer,SCHN
iShares MSCI EAFE Small-Cap ETF,SCZ
SandRidge Energy Inc,SD
Seadrill Partners LLC,SDLP
Superior Drilling Products Inc,SDPI
Sandridge Mississippian Trust II,SDR
Seadrill Ltd,SDRL
SandRidge Mississippian Trust I,SDT
SemGroup Corp,SEMG
Spectra Energy Partners LP,SEP
Star Gas Partners LP,SGU
Stone Energy Corp,SGY
Sinopec Shanghai Petrochemical Co Ltd,SHI
Shell Midstream Partners LP,SHLX
San Juan Basin Royalty Trust,SJT
Schlumberger NV,SLB
iShares 0-5 Year Investment Grade Corporate Bond ETF,SLQD
SM Energy Co,SM
Summit Midstream Partners LP,SMLP
Sanchez Energy Corp,SN
China Petroleum & Chemical Corp,SNP
iShares S&P NA Tec. Semi. Idx. Fd.(ETF),SOXX
Superior Energy Services Inc,SPN
Sanchez Production Partners LP,SPP
SunPower Corporation,SPWR
SPDR S&P 500 ETF Trust,SPY
Sprague Resources LP,SRLP
Seventy Seven Energy Inc,SSE
Sasol Ltd,SSL
Samson Oil and Gas Ltd,SSN
Scorpio Tankers Inc,STNG
Statoil ASA,STO
Suncor Energy Inc,SU
Subsea 7 S.A.,SUBCO
Sunoco LP,SUN
Southwestern Energy Co,SWN
Steel Excel Inc,SXCL
Sunoco Logistics Partners LP,SXL
TransAtlantic Petroleum Ltd,TAT
TC PipeLines LP,TCP
Tidewater Inc,TDW
Tallgrass Energy GP LP,TEGP
Tellurian Inc,TELL
Tallgrass Energy Partners LP,TEP
TESCO Corp,TESO
TransGlobe Energy Corp,TGA
Tengasco Inc,TGC
Tesoro Logistics LP,TLLP
TransMontaigne Partners LP,TLP
iShares Barclays 20+ Yr Treas.Bond (ETF),TLT
Total SA,TOT
Triangle Petroleum Corp,TPLM
Torchlight Energy Resources Inc,TRCH
Targa Resources Corp,TRGP
Torm A/S (ADR),TRMD
TransCanada Corp,TRP
Tenaris SA (ADR),TS
Tesla Inc,TSLA
Tesoro Corp,TSO
"Tetra Tech, Inc.",TTEK
Tetra Technologies Inc,TTI
iShares Trust,UAE
"Union Drilling, Inc.",UDRL
Ultrapar Participacoes SA,UGP
United States Natural Gas,UNG
Unit Corp,UNT
Ultra Petroleum Corp.,UPL
USA Compression Partners LP,USAC
US Energy Corp,USEG
United States Oil Fund LP (ETF),USO
Vale SA (ADR),VALE
Vedanta Resources plc,VED
Vermilion Energy Inc,VET
Vallourec SA,VK
Valero Energy Corp,VLO
Valero Energy Partners LP,VLP
Viper Energy Partners LP,VNOM
VOC Energy Trust,VOC
Vantage Drilling Co,VTG
Vertex Energy Inc,VTNR
VTTI Energy Partners LP,VTTI
Western Gas Partners LP,WES
Weatherford International PLC,WFT
Willbros Group Inc,WG
Western Gas Equity Partners LP,WGP
Whiting Petroleum Corp,WLL
Williams Companies Inc,WMB
Western Refining Inc,WNR
Western Refining Logistics LP,WNRL
iShares S&P Global Timbr & Frstry Idx,WOOD
World Point Terminals LP,WPT
WPX Energy Inc,WPX
Williams Partners LP,WPZ
Warren Resources Inc,WRES
W&T Offshore Inc,WTI
United States Steel Corporation,X
EXCO Resources Inc,XCO
Cimarex Energy Co,XEC
Materials Select Sector SPDR,XLB
Energy Select Sector SPDR (ETF),XLE
Utilities Select Sector SPDR ETF (XLU),XLU
Exxon Mobil Corporation,XOM
Exxon Mobil Corp,XOM
SPDR oil and gas Exploration and Production ETF,XOP
YPF SA,YPF
Yuma Energy Inc,YUMA
ZaZa Energy Corp,ZAZA
"Olympic Steel, Inc.",ZEUS
Zion Oil and Gas Inc,ZN
